date,cash_rate,scrape_date
2023-03-01,3.510000000000005,2023-03-29
2023-04-01,3.594999999999999,2023-03-29
2023-05-01,3.6400000000000006,2023-03-29
2023-06-01,3.605000000000004,2023-03-29
2023-07-01,3.5400000000000063,2023-03-29
2023-08-01,3.4749999999999943,2023-03-29
2023-09-01,3.450000000000003,2023-03-29
2023-10-01,3.4000000000000057,2023-03-29
2023-11-01,3.3700000000000045,2023-03-29
2023-12-01,3.319999999999993,2023-03-29
2024-01-01,3.3149999999999977,2023-03-29
2024-02-01,3.2900000000000063,2023-03-29
2024-03-01,3.2650000000000006,2023-03-29
2024-04-01,3.239999999999995,2023-03-29
2024-05-01,3.2150000000000034,2023-03-29
2024-06-01,3.194999999999993,2023-03-29
2024-07-01,3.1650000000000063,2023-03-29
2024-08-01,3.1500000000000057,2023-03-29
