date,cash_rate,scrape_date
2023-03-01,3.510000000000005,2023-03-24
2023-04-01,3.5849999999999937,2023-03-24
2023-05-01,3.6099999999999994,2023-03-24
2023-06-01,3.555000000000007,2023-03-24
2023-07-01,3.469999999999999,2023-03-24
2023-08-01,3.394999999999996,2023-03-24
2023-09-01,3.3700000000000045,2023-03-24
2023-10-01,3.319999999999993,2023-03-24
2023-11-01,3.2900000000000063,2023-03-24
2023-12-01,3.239999999999995,2023-03-24
2024-01-01,3.230000000000004,2023-03-24
2024-02-01,3.2049999999999983,2023-03-24
2024-03-01,3.180000000000007,2023-03-24
2024-04-01,3.155000000000001,2023-03-24
2024-05-01,3.1299999999999955,2023-03-24
2024-06-01,3.1099999999999994,2023-03-24
2024-07-01,3.0799999999999983,2023-03-24
2024-08-01,3.0600000000000023,2023-03-24
