date,cash_rate,scrape_date
2023-01-01,3.055000000000007,2023-01-04
2023-02-01,3.194999999999993,2023-01-04
2023-03-01,3.344999999999999,2023-01-04
2023-04-01,3.469999999999999,2023-01-04
2023-05-01,3.605000000000004,2023-01-04
2023-06-01,3.694999999999993,2023-01-04
2023-07-01,3.799999999999997,2023-01-04
2023-08-01,3.9000000000000057,2023-01-04
2023-09-01,3.9350000000000023,2023-01-04
2023-10-01,3.944999999999993,2023-01-04
2023-11-01,3.944999999999993,2023-01-04
2023-12-01,3.9150000000000063,2023-01-04
2024-01-01,3.9099999999999966,2023-01-04
2024-02-01,3.894999999999996,2023-01-04
2024-03-01,3.864999999999995,2023-01-04
2024-04-01,3.8299999999999983,2023-01-04
2024-05-01,3.805000000000007,2023-01-04
2024-06-01,3.769999999999996,2023-01-04
