date,cash_rate,scrape_date
2022-08-01,1.7750000000000057,2022-08-22
2022-09-01,2.1700000000000017,2022-08-22
2022-10-01,2.5349999999999966,2022-08-22
2022-11-01,2.9150000000000063,2022-08-22
2022-12-01,3.180000000000007,2022-08-22
2023-01-01,3.25,2022-08-22
2023-02-01,3.4200000000000017,2022-08-22
2023-03-01,3.575000000000003,2022-08-22
2023-04-01,3.6599999999999966,2022-08-22
2023-05-01,3.7150000000000034,2022-08-22
2023-06-01,3.739999999999995,2022-08-22
2023-07-01,3.7450000000000045,2022-08-22
2023-08-01,3.7450000000000045,2022-08-22
2023-09-01,3.7450000000000045,2022-08-22
2023-10-01,3.719999999999999,2022-08-22
2023-11-01,3.6850000000000023,2022-08-22
2023-12-01,3.6299999999999955,2022-08-22
2024-01-01,3.6200000000000045,2022-08-22
