date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-16
2022-10-01,2.6700000000000017,2022-09-16
2022-11-01,3.0649999999999977,2022-09-16
2022-12-01,3.3100000000000023,2022-09-16
2023-01-01,3.3700000000000045,2022-09-16
2023-02-01,3.530000000000001,2022-09-16
2023-03-01,3.7249999999999943,2022-09-16
2023-04-01,3.8700000000000045,2022-09-16
2023-05-01,3.9200000000000017,2022-09-16
2023-06-01,3.9150000000000063,2022-09-16
2023-07-01,3.924999999999997,2022-09-16
2023-08-01,3.9099999999999966,2022-09-16
2023-09-01,3.8900000000000006,2022-09-16
2023-10-01,3.8700000000000045,2022-09-16
2023-11-01,3.855000000000004,2022-09-16
2023-12-01,3.819999999999993,2022-09-16
2024-01-01,3.8100000000000023,2022-09-16
2024-02-01,3.7900000000000063,2022-09-16
