date,cash_rate,scrape_date
2022-11-01,2.7950000000000017,2022-11-07
2022-12-01,2.9849999999999994,2022-11-07
2023-01-01,3.0250000000000057,2022-11-07
2023-02-01,3.2049999999999983,2022-11-07
2023-03-01,3.4150000000000063,2022-11-07
2023-04-01,3.6099999999999994,2022-11-07
2023-05-01,3.7849999999999966,2022-11-07
2023-06-01,3.855000000000004,2022-11-07
2023-07-01,3.9150000000000063,2022-11-07
2023-08-01,3.9549999999999983,2022-11-07
2023-09-01,3.9849999999999994,2022-11-07
2023-10-01,4.010000000000005,2022-11-07
2023-11-01,4.015000000000001,2022-11-07
2023-12-01,4.010000000000005,2022-11-07
2024-01-01,4.0049999999999955,2022-11-07
2024-02-01,4.015000000000001,2022-11-07
2024-03-01,4.0049999999999955,2022-11-07
2024-04-01,3.980000000000004,2022-11-07
