date,cash_rate,scrape_date
2022-12-01,3.0049999999999955,2022-12-09
2023-01-01,3.049999999999997,2022-12-09
2023-02-01,3.174999999999997,2022-12-09
2023-03-01,3.2849999999999966,2022-12-09
2023-04-01,3.3700000000000045,2022-12-09
2023-05-01,3.444999999999993,2022-12-09
2023-06-01,3.510000000000005,2022-12-09
2023-07-01,3.569999999999993,2022-12-09
2023-08-01,3.5999999999999943,2022-12-09
2023-09-01,3.605000000000004,2022-12-09
2023-10-01,3.5999999999999943,2022-12-09
2023-11-01,3.5999999999999943,2022-12-09
2023-12-01,3.5900000000000034,2022-12-09
2024-01-01,3.5849999999999937,2022-12-09
2024-02-01,3.5649999999999977,2022-12-09
2024-03-01,3.530000000000001,2022-12-09
2024-04-01,3.489999999999995,2022-12-09
2024-05-01,3.4599999999999937,2022-12-09
