date,cash_rate,scrape_date
2022-12-01,3.010000000000005,2022-12-06
2023-01-01,3.055000000000007,2022-12-06
2023-02-01,3.180000000000007,2022-12-06
2023-03-01,3.2900000000000063,2022-12-06
2023-04-01,3.3700000000000045,2022-12-06
2023-05-01,3.4599999999999937,2022-12-06
2023-06-01,3.5150000000000006,2022-12-06
2023-07-01,3.5799999999999983,2022-12-06
2023-08-01,3.6200000000000045,2022-12-06
2023-09-01,3.6400000000000006,2022-12-06
2023-10-01,3.655000000000001,2022-12-06
2023-11-01,3.655000000000001,2022-12-06
2023-12-01,3.635000000000005,2022-12-06
2024-01-01,3.6299999999999955,2022-12-06
2024-02-01,3.6200000000000045,2022-12-06
2024-03-01,3.5900000000000034,2022-12-06
2024-04-01,3.549999999999997,2022-12-06
2024-05-01,3.5250000000000057,2022-12-06
