date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-28
2022-10-01,2.680000000000007,2022-09-28
2022-11-01,3.094999999999999,2022-09-28
2022-12-01,3.344999999999999,2022-09-28
2023-01-01,3.405000000000001,2022-09-28
2023-02-01,3.5799999999999983,2022-09-28
2023-03-01,3.8100000000000023,2022-09-28
2023-04-01,4.045000000000002,2022-09-28
2023-05-01,4.219999999999999,2022-09-28
2023-06-01,4.239999999999995,2022-09-28
2023-07-01,4.239999999999995,2022-09-28
2023-08-01,4.239999999999995,2022-09-28
2023-09-01,4.239999999999995,2022-09-28
2023-10-01,4.230000000000004,2022-09-28
2023-11-01,4.219999999999999,2022-09-28
2023-12-01,4.200000000000003,2022-09-28
2024-01-01,4.200000000000003,2022-09-28
2024-02-01,4.194999999999993,2022-09-28
