date,cash_rate,scrape_date
2023-02-01,3.2549999999999955,2023-02-24
2023-03-01,3.5049999999999955,2023-02-24
2023-04-01,3.730000000000004,2023-02-24
2023-05-01,3.9200000000000017,2023-02-24
2023-06-01,4.030000000000001,2023-02-24
2023-07-01,4.135000000000005,2023-02-24
2023-08-01,4.215000000000003,2023-02-24
2023-09-01,4.2450000000000045,2023-02-24
2023-10-01,4.2450000000000045,2023-02-24
2023-11-01,4.2450000000000045,2023-02-24
2023-12-01,4.224999999999994,2023-02-24
2024-01-01,4.219999999999999,2023-02-24
2024-02-01,4.194999999999993,2023-02-24
2024-03-01,4.150000000000006,2023-02-24
2024-04-01,4.094999999999999,2023-02-24
2024-05-01,4.049999999999997,2023-02-24
2024-06-01,3.989999999999995,2023-02-24
2024-07-01,3.930000000000007,2023-02-24
