date,cash_rate,scrape_date
2022-05-01,0.2849999999999966,2022-05-17
2022-06-01,0.5900000000000034,2022-05-17
2022-07-01,0.9899999999999949,2022-05-17
2022-08-01,1.4150000000000063,2022-05-17
2022-09-01,1.7199999999999989,2022-05-17
2022-10-01,2.1099999999999994,2022-05-17
2022-11-01,2.5049999999999955,2022-05-17
2022-12-01,2.7150000000000034,2022-05-17
2023-01-01,2.7549999999999955,2022-05-17
2023-02-01,2.950000000000003,2022-05-17
2023-03-01,3.1099999999999994,2022-05-17
2023-04-01,3.2349999999999994,2022-05-17
2023-05-01,3.3349999999999937,2022-05-17
2023-06-01,3.375,2022-05-17
2023-07-01,3.4000000000000057,2022-05-17
2023-08-01,3.4000000000000057,2022-05-17
2023-09-01,3.4000000000000057,2022-05-17
2023-10-01,3.394999999999996,2022-05-17
