date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-15
2022-10-01,2.644999999999996,2022-09-15
2022-11-01,3.0450000000000017,2022-09-15
2022-12-01,3.280000000000001,2022-09-15
2023-01-01,3.3400000000000034,2022-09-15
2023-02-01,3.480000000000004,2022-09-15
2023-03-01,3.655000000000001,2022-09-15
2023-04-01,3.7950000000000017,2022-09-15
2023-05-01,3.844999999999999,2022-09-15
2023-06-01,3.8400000000000034,2022-09-15
2023-07-01,3.8499999999999943,2022-09-15
2023-08-01,3.8400000000000034,2022-09-15
2023-09-01,3.825000000000003,2022-09-15
2023-10-01,3.805000000000007,2022-09-15
2023-11-01,3.7849999999999966,2022-09-15
2023-12-01,3.7549999999999955,2022-09-15
2024-01-01,3.75,2022-09-15
2024-02-01,3.7349999999999994,2022-09-15
