date,cash_rate,scrape_date
2023-03-01,3.4950000000000045,2023-03-02
2023-04-01,3.694999999999993,2023-03-02
2023-05-01,3.875,2023-03-02
2023-06-01,3.9749999999999943,2023-03-02
2023-07-01,4.069999999999993,2023-03-02
2023-08-01,4.150000000000006,2023-03-02
2023-09-01,4.180000000000007,2023-03-02
2023-10-01,4.185000000000002,2023-03-02
2023-11-01,4.174999999999997,2023-03-02
2023-12-01,4.150000000000006,2023-03-02
2024-01-01,4.150000000000006,2023-03-02
2024-02-01,4.1200000000000045,2023-03-02
2024-03-01,4.079999999999998,2023-03-02
2024-04-01,4.034999999999997,2023-03-02
2024-05-01,3.9950000000000045,2023-03-02
2024-06-01,3.9350000000000023,2023-03-02
2024-07-01,3.8700000000000045,2023-03-02
2024-08-01,3.819999999999993,2023-03-02
