date,cash_rate,scrape_date
2022-07-01,1.2249999999999943,2022-07-05
2022-08-01,1.7099999999999937,2022-07-05
2022-09-01,2.0150000000000006,2022-07-05
2022-10-01,2.3700000000000045,2022-07-05
2022-11-01,2.7650000000000006,2022-07-05
2022-12-01,3.019999999999996,2022-07-05
2023-01-01,3.0900000000000034,2022-07-05
2023-02-01,3.319999999999993,2022-07-05
2023-03-01,3.4599999999999937,2022-07-05
2023-04-01,3.4950000000000045,2022-07-05
2023-05-01,3.5049999999999955,2022-07-05
2023-06-01,3.5049999999999955,2022-07-05
2023-07-01,3.480000000000004,2022-07-05
2023-08-01,3.444999999999993,2022-07-05
2023-09-01,3.4200000000000017,2022-07-05
2023-10-01,3.3799999999999955,2022-07-05
2023-11-01,3.3499999999999943,2022-07-05
2023-12-01,3.3100000000000023,2022-07-05
