date,cash_rate,scrape_date
2022-08-01,1.7750000000000057,2022-08-17
2022-09-01,2.144999999999996,2022-08-17
2022-10-01,2.5049999999999955,2022-08-17
2022-11-01,2.8700000000000045,2022-08-17
2022-12-01,3.125,2022-08-17
2023-01-01,3.200000000000003,2022-08-17
2023-02-01,3.375,2022-08-17
2023-03-01,3.5,2022-08-17
2023-04-01,3.519999999999996,2022-08-17
2023-05-01,3.519999999999996,2022-08-17
2023-06-01,3.519999999999996,2022-08-17
2023-07-01,3.519999999999996,2022-08-17
2023-08-01,3.519999999999996,2022-08-17
2023-09-01,3.489999999999995,2022-08-17
2023-10-01,3.444999999999993,2022-08-17
2023-11-01,3.4099999999999966,2022-08-17
2023-12-01,3.3599999999999994,2022-08-17
2024-01-01,3.355000000000004,2022-08-17
