date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-13
2022-10-01,2.5900000000000034,2022-09-13
2022-11-01,2.9200000000000017,2022-09-13
2022-12-01,3.114999999999995,2022-09-13
2023-01-01,3.1700000000000017,2022-09-13
2023-02-01,3.280000000000001,2022-09-13
2023-03-01,3.4000000000000057,2022-09-13
2023-04-01,3.530000000000001,2022-09-13
2023-05-01,3.5450000000000017,2022-09-13
2023-06-01,3.575000000000003,2022-09-13
2023-07-01,3.5649999999999977,2022-09-13
2023-08-01,3.555000000000007,2022-09-13
2023-09-01,3.5400000000000063,2022-09-13
2023-10-01,3.5150000000000006,2022-09-13
2023-11-01,3.4950000000000045,2022-09-13
2023-12-01,3.4650000000000034,2022-09-13
2024-01-01,3.4599999999999937,2022-09-13
2024-02-01,3.444999999999993,2022-09-13
