date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-07
2022-10-01,2.605000000000004,2022-09-07
2022-11-01,2.950000000000003,2022-09-07
2022-12-01,3.1700000000000017,2022-09-07
2023-01-01,3.2249999999999943,2022-09-07
2023-02-01,3.405000000000001,2022-09-07
2023-03-01,3.555000000000007,2022-09-07
2023-04-01,3.655000000000001,2022-09-07
2023-05-01,3.700000000000003,2022-09-07
2023-06-01,3.739999999999995,2022-09-07
2023-07-01,3.7650000000000006,2022-09-07
2023-08-01,3.7650000000000006,2022-09-07
2023-09-01,3.7450000000000045,2022-09-07
2023-10-01,3.719999999999999,2022-09-07
2023-11-01,3.700000000000003,2022-09-07
2023-12-01,3.680000000000007,2022-09-07
2024-01-01,3.674999999999997,2022-09-07
2024-02-01,3.6700000000000017,2022-09-07
