date,cash_rate,scrape_date
2022-06-01,0.6899999999999977,2022-06-29
2022-07-01,1.1949999999999932,2022-06-29
2022-08-01,1.6850000000000023,2022-06-29
2022-09-01,2.0150000000000006,2022-06-29
2022-10-01,2.4150000000000063,2022-06-29
2022-11-01,2.8349999999999937,2022-06-29
2022-12-01,3.1400000000000006,2022-06-29
2023-01-01,3.2249999999999943,2022-06-29
2023-02-01,3.480000000000004,2022-06-29
2023-03-01,3.6400000000000006,2022-06-29
2023-04-01,3.680000000000007,2022-06-29
2023-05-01,3.7099999999999937,2022-06-29
2023-06-01,3.7450000000000045,2022-06-29
2023-07-01,3.7849999999999966,2022-06-29
2023-08-01,3.7849999999999966,2022-06-29
2023-09-01,3.7750000000000057,2022-06-29
2023-10-01,3.7450000000000045,2022-06-29
2023-11-01,3.7150000000000034,2022-06-29
