date,cash_rate,scrape_date
2023-01-01,3.069999999999993,2023-02-01
2023-02-01,3.239999999999995,2023-02-01
2023-03-01,3.4200000000000017,2023-02-01
2023-04-01,3.5450000000000017,2023-02-01
2023-05-01,3.6650000000000063,2023-02-01
2023-06-01,3.719999999999999,2023-02-01
2023-07-01,3.780000000000001,2023-02-01
2023-08-01,3.7950000000000017,2023-02-01
2023-09-01,3.780000000000001,2023-02-01
2023-10-01,3.7650000000000006,2023-02-01
2023-11-01,3.7450000000000045,2023-02-01
2023-12-01,3.7049999999999983,2023-02-01
2024-01-01,3.700000000000003,2023-02-01
2024-02-01,3.6700000000000017,2023-02-01
2024-03-01,3.625,2023-02-01
2024-04-01,3.5799999999999983,2023-02-01
2024-05-01,3.5450000000000017,2023-02-01
2024-06-01,3.4950000000000045,2023-02-01
2024-07-01,3.444999999999993,2023-02-01
