date,cash_rate,scrape_date
2022-09-01,2.2049999999999983,2022-09-26
2022-10-01,2.7099999999999937,2022-09-26
2022-11-01,3.1299999999999955,2022-09-26
2022-12-01,3.3799999999999955,2022-09-26
2023-01-01,3.450000000000003,2022-09-26
2023-02-01,3.635000000000005,2022-09-26
2023-03-01,3.8700000000000045,2022-09-26
2023-04-01,4.099999999999994,2022-09-26
2023-05-01,4.290000000000006,2022-09-26
2023-06-01,4.310000000000002,2022-09-26
2023-07-01,4.325000000000003,2022-09-26
2023-08-01,4.325000000000003,2022-09-26
2023-09-01,4.325000000000003,2022-09-26
2023-10-01,4.310000000000002,2022-09-26
2023-11-01,4.290000000000006,2022-09-26
2023-12-01,4.2450000000000045,2022-09-26
2024-01-01,4.234999999999999,2022-09-26
2024-02-01,4.215000000000003,2022-09-26
