date,cash_rate,scrape_date
2023-03-01,3.510000000000005,2023-03-23
2023-04-01,3.5900000000000034,2023-03-23
2023-05-01,3.614999999999995,2023-03-23
2023-06-01,3.5849999999999937,2023-03-23
2023-07-01,3.5150000000000006,2023-03-23
2023-08-01,3.4399999999999977,2023-03-23
2023-09-01,3.4150000000000063,2023-03-23
2023-10-01,3.385000000000005,2023-03-23
2023-11-01,3.355000000000004,2023-03-23
2023-12-01,3.3299999999999983,2023-03-23
2024-01-01,3.319999999999993,2023-03-23
2024-02-01,3.299999999999997,2023-03-23
2024-03-01,3.2750000000000057,2023-03-23
2024-04-01,3.25,2023-03-23
2024-05-01,3.2249999999999943,2023-03-23
2024-06-01,3.2049999999999983,2023-03-23
2024-07-01,3.174999999999997,2023-03-23
2024-08-01,3.155000000000001,2023-03-23
