word,confidence,l,t,r,b,start,scrapedate,date
own,95.7105941772461,16289,15984,16769,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
professional,96.133148193359375,16881,15932,18325,16189,FALSE,2022-04-23T13:56:37Z,2022-04-01
advice,96.53234100341797,18432,15934,19203,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
in,96.39167785644531,19311,15935,19487,16132,FALSE,2022-04-23T13:56:37Z,2022-04-01
assessing,96.4010009765625,19593,15935,20786,16193,FALSE,2022-04-23T13:56:37Z,2022-04-01
the,96.4010009765625,20882,15934,21251,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
effect,96.192901611328125,21347,15932,22004,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
of,96.47686004638672,22096,15932,22314,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
the,96.13147735595703,22402,15934,22770,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
information,96.20598602294922,22875,15932,24197,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
in,93.16241455078125,24310,15935,24486,16132,FALSE,2022-04-23T13:56:37Z,2022-04-01
their,96.72547149658203,1260,16249,1793,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
circumstances.,96.1401138305664,1877,16250,3679,16453,FALSE,2022-04-23T13:56:37Z,2022-04-01
ASX,95.94055938720703,3785,16245,4327,16453,FALSE,2022-04-23T13:56:37Z,2022-04-01
Limited,96.458404541015625,4426,16249,5272,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.893890380859375,5378,16249,5807,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
its,95.8975601196289,5920,16250,6166,16453,FALSE,2022-04-23T13:56:37Z,2022-04-01
related,96.40396881103516,6272,16249,7075,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
corporations,96.41797637939453,7178,16250,8672,16504,FALSE,2022-04-23T13:56:37Z,2022-04-01
accept,96.66497802734375,8767,16263,9563,16504,FALSE,2022-04-23T13:56:37Z,2022-04-01
no,96.789642333984375,9661,16299,9939,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
responsibility,95.90030670166016,10045,16249,11608,16506,FALSE,2022-04-23T13:56:37Z,2022-04-01
for,95.94934844970703,11694,16247,12010,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
errors,95.60913848876953,12096,16299,12792,16453,FALSE,2022-04-23T13:56:37Z,2022-04-01
or,96.423919677734375,12888,16299,13123,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
"omissions,",95.90079498291016,13207,16250,14475,16488,FALSE,2022-04-23T13:56:37Z,2022-04-01
including,96.63316345214844,14591,16249,15641,16508,FALSE,2022-04-23T13:56:37Z,2022-04-01
"negligence,",96.6425552368164,15752,16250,17132,16508,FALSE,2022-04-23T13:56:37Z,2022-04-01
or,96.52946472167969,17242,16299,17476,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
for,95.86962127685547,17556,16247,17872,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
any,95.8377914428711,17962,16300,18390,16506,FALSE,2022-04-23T13:56:37Z,2022-04-01
damage,96.1869888305664,18475,16249,19452,16508,FALSE,2022-04-23T13:56:37Z,2022-04-01
loss,87.78075408935547,19556,16250,20017,16453,FALSE,2022-04-23T13:56:37Z,2022-04-01
or,96.38545227050781,20113,16299,20348,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
claim,96.32202911376953,20438,16250,21054,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
arising,96.48626708984375,21158,16250,21937,16508,FALSE,2022-04-23T13:56:37Z,2022-04-01
from,96.42926025390625,22037,16247,22567,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
reliance,96.42680358886719,22678,16250,23607,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
on,96.46819305419922,23705,16299,23986,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
the,96.46819305419922,24088,16249,24453,16452,FALSE,2022-04-23T13:56:37Z,2022-04-01
information.,90.83323669433594,3670,16566,5066,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
Futures,95.88673400878906,5191,16569,6087,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.276702880859375,6186,16568,6615,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
options,96.05829620361328,6718,16569,7582,16823,FALSE,2022-04-23T13:56:37Z,2022-04-01
trading,96.4186782836914,7673,16568,8489,16827,FALSE,2022-04-23T13:56:37Z,2022-04-01
involves,96.19857025146484,8604,16569,9568,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
the,96.19857025146484,9659,16568,10024,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
potential,96.35688781738281,10130,16569,11131,16823,FALSE,2022-04-23T13:56:37Z,2022-04-01
for,96.79247283935547,11231,16566,11547,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
both,96.59351348876953,11639,16568,12142,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
profits,96.660980224609375,12250,16566,12974,16823,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.68872833251953,13070,16568,13501,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
losses,95.87310791015625,13611,16569,14363,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.82355499267578,14462,16568,14891,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
only,95.84156799316406,14994,16569,15487,16825,FALSE,2022-04-23T13:56:37Z,2022-04-01
licensed,96.66351318359375,15583,16568,16557,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
brokers,96.34246826171875,16665,16568,17557,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.28588104248047,17653,16568,18084,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
advisors,96.28588104248047,18187,16568,19207,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
can,95.08360290527344,19299,16618,19716,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
advise,75.87379455566406,19822,16568,20594,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
on,95.49848175048828,20694,16618,20972,16771,FALSE,2022-04-23T13:56:37Z,2022-04-01
this,95.49848175048828,21070,16568,21485,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
risk.,96.43099212646484,21590,16569,22050,16772,FALSE,2022-04-23T13:56:37Z,2022-04-01
