word,confidence,l,t,r,b,start,scrapedate,date
_,58.16196060180664,15727,6458,16343,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
ttt,48.72936248779297,17912,6458,21783,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,74.39985656738281,23351,6458,23645,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
S30,42.3845100402832,3309,7001,3822,7206,FALSE,2022-04-23T13:56:37Z,2022-04-01
Zam,34.34324645996094,14642,6795,16343,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
nmi,0,16812,6795,21783,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
&,41.622314453125,23351,6795,23645,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
7,29.812576293945312,2019,7441,2209,7587,FALSE,2022-04-23T13:56:37Z,2022-04-01
530,29.55816650390625,3309,7011,3822,7532,FALSE,2022-04-23T13:56:37Z,2022-04-01
nmr,22.897598266601562,13558,7118,15244,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
mnmHHHh,0,15727,7118,20698,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
hm,67.43629455566406,21167,7118,22867,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
E,38.06074142456055,23351,7118,23645,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
2,57.78165817260742,2019,7616,2235,7836,FALSE,2022-04-23T13:56:37Z,2022-04-01
or,26.468597412109375,3309,7646,3822,7851,FALSE,2022-04-23T13:56:37Z,2022-04-01
nm,0,13558,7441,15244,7763,FALSE,2022-04-23T13:56:37Z,2022-04-01
mmHHHhhm,0,15727,7441,22867,7763,FALSE,2022-04-23T13:56:37Z,2022-04-01
>,70.99000549316406,2019,7866,2234,8115,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,34.742042541503906,3309,7983,3436,8188,FALSE,2022-04-23T13:56:37Z,2022-04-01
00,85.544464111328125,3567,7983,3822,8188,FALSE,2022-04-23T13:56:37Z,2022-04-01
Zann,5.0064239501953125,12473,7778,15244,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
mnmnmHh,0,15727,7778,20698,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
hm,45.45433807373047,21167,7778,22867,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
EE,24.560447692871094,23351,7778,23645,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
Soc,18.91112518310547,3324,8306,3804,8511,FALSE,2022-04-23T13:56:37Z,2022-04-01
a,24.4964599609375,7341,8496,7605,8526,FALSE,2022-04-23T13:56:37Z,2022-04-01
nm,0,12473,8100,14159,8423,FALSE,2022-04-23T13:56:37Z,2022-04-01
memHeHHhihm,0,14642,8100,22867,8423,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ss,0,23351,8100,23645,8423,FALSE,2022-04-23T13:56:37Z,2022-04-01
2,77.52861785888672,2019,8599,2270,8907,FALSE,2022-04-23T13:56:37Z,2022-04-01
1,43.33112716674805,3324,8628,3397,8833,FALSE,2022-04-23T13:56:37Z,2022-04-01
20,49.613685607910156,3537,8628,3822,8833,FALSE,2022-04-23T13:56:37Z,2022-04-01
RBA,96.84038543701172,6212,8496,6799,8716,FALSE,2022-04-23T13:56:37Z,2022-04-01
Official,96.849090576171875,6916,8496,7840,8716,FALSE,2022-04-23T13:56:37Z,2022-04-01
Cash,96.5029525756836,7928,8496,8617,8716,FALSE,2022-04-23T13:56:37Z,2022-04-01
Rate,96.8442153930664,8734,8496,9350,8716,FALSE,2022-04-23T13:56:37Z,2022-04-01
if,69.731292724609375,12867,8431,13593,8866,FALSE,2022-04-23T13:56:37Z,2022-04-01
ft,0,14136,8431,14681,8866,FALSE,2022-04-23T13:56:37Z,2022-04-01
he,0,15224,8431,15732,8866,FALSE,2022-04-23T13:56:37Z,2022-04-01
he,2.954345703125,16347,8431,16856,8866,FALSE,2022-04-23T13:56:37Z,2022-04-01
e,0,17435,8438,17436,8745,FALSE,2022-04-23T13:56:37Z,2022-04-01
Uh—hUrlhUrlhUrlhLhU,0,18997,8438,22867,8745,FALSE,2022-04-23T13:56:37Z,2022-04-01
",",0,2078,8951,2219,9185,FALSE,2022-04-23T13:56:37Z,2022-04-01
",77",18.85125732421875,3324,8965,3822,9171,FALSE,2022-04-23T13:56:37Z,2022-04-01
1,28.51287078857422,4072,8760,10889,9068,FALSE,2022-04-23T13:56:37Z,2022-04-01
tt,32.11216735839844,8348,8756,9117,9175,FALSE,2022-04-23T13:56:37Z,2022-04-01
te,52.093143463134766,9255,8756,9885,9175,FALSE,2022-04-23T13:56:37Z,2022-04-01
te,35.86174774169922,10617,8756,11247,9175,FALSE,2022-04-23T13:56:37Z,2022-04-01
LeU,20.79821014404297,12473,8760,23645,9068,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,96.21305084228516,2019,9215,2228,9259,FALSE,2022-04-23T13:56:37Z,2022-04-01
",co,__",0,3324,9288,3822,9493,FALSE,2022-04-23T13:56:37Z,2022-04-01
si‘,23.711692810058594,5126,9079,5623,9504,FALSE,2022-04-23T13:56:37Z,2022-04-01
"(i‘iéiU(YCOUUOUUCté‘“(‘#‘##.,SCOt;CS®®",0,4072,9083,10889,9405,FALSE,2022-04-23T13:56:37Z,2022-04-01
Uh,38.204532623291016,12473,9083,13074,9405,FALSE,2022-04-23T13:56:37Z,2022-04-01
6O©Mlh—=6U—Mlh—hUlhlhUlCO,0,13558,9083,17428,9405,FALSE,2022-04-23T13:56:37Z,2022-04-01
lOO,10.652557373046875,17912,9083,23645,9405,FALSE,2022-04-23T13:56:37Z,2022-04-01
",55|",9.1942138671875,3324,9610,3822,9816,FALSE,2022-04-23T13:56:37Z,2022-04-01
ss—“,9.1749725341796875,5422,9416,6373,9823,FALSE,2022-04-23T13:56:37Z,2022-04-01
‘itwhLCU,0,6406,9416,7560,9823,FALSE,2022-04-23T13:56:37Z,2022-04-01
tt,0,7898,9416,8442,9823,FALSE,2022-04-23T13:56:37Z,2022-04-01
(,7.48504638671875,8475,9416,8544,9823,FALSE,2022-04-23T13:56:37Z,2022-04-01
t;w®Ctttee,0,7664,9420,10889,9728,FALSE,2022-04-23T13:56:37Z,2022-04-01
eS,12.404701232910156,11799,9416,11969,9823,FALSE,2022-04-23T13:56:37Z,2022-04-01
eee,36.95843505859375,12473,9420,23645,9728,FALSE,2022-04-23T13:56:37Z,2022-04-01
sao.,0,3324,9948,3822,10153,FALSE,2022-04-23T13:56:37Z,2022-04-01
ti(‘i;LLlllUmdmDDlUmLDlULlUmelUelellelOeeeeeee,0,4072,9742,20698,10050,FALSE,2022-04-23T13:56:37Z,2022-04-01
",3,|",15.682220458984375,3324,10270,3822,10476,FALSE,2022-04-23T13:56:37Z,2022-04-01
7+,32.898345947265625,6160,10061,6551,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
+,87.4468994140625,6586,10061,6622,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
if,0,7012,10061,7758,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
##,15.077598571777344,8219,10061,8610,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
 «=535tf,6.969535827636719,8964,10061,10349,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
ft,19.241477966308594,10952,10061,11485,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
hh,32.10377502441406,12017,10061,12515,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
hn,42.60851287841797,13082,10061,13615,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
mh,19.754959106445312,14183,10061,14680,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
me,34.012184143066406,15283,10061,15852,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
me,14.355583190917969,16348,10061,16846,10487,FALSE,2022-04-23T13:56:37Z,2022-04-01
lh,31.984718322753906,17912,10065,18513,10388,FALSE,2022-04-23T13:56:37Z,2022-04-01
hUrlhUcrlhlUrlhlUrh,0,18997,10065,22867,10388,FALSE,2022-04-23T13:56:37Z,2022-04-01
he,29.917190551757812,23351,10065,23645,10388,FALSE,2022-04-23T13:56:37Z,2022-04-01
"so,",1.9422531127929688,3324,10607,3822,10813,FALSE,2022-04-23T13:56:37Z,2022-04-01
tt,38.85305404663086,6218,10398,6742,10817,FALSE,2022-04-23T13:56:37Z,2022-04-01
rt,10.126609802246094,7998,10398,9326,10817,FALSE,2022-04-23T13:56:37Z,2022-04-01
te,49.29145050048828,9500,10398,10129,10817,FALSE,2022-04-23T13:56:37Z,2022-04-01
lhe,0,11373,10402,11989,10710,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ue,18.08922576904297,12957,10398,13691,10817,FALSE,2022-04-23T13:56:37Z,2022-04-01
ee,39.224571228027344,14642,10402,23645,10710,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ji.,0,3324,10930,3822,11135,FALSE,2022-04-23T13:56:37Z,2022-04-01
tC,34.82444763183594,6489,10721,6978,11139,FALSE,2022-04-23T13:56:37Z,2022-04-01
ll,46.209190368652344,7569,10721,8371,11139,FALSE,2022-04-23T13:56:37Z,2022-04-01
GO,42.51929473876953,8510,10721,9590,11139,FALSE,2022-04-23T13:56:37Z,2022-04-01
eel,0,11373,10725,18513,11033,FALSE,2022-04-23T13:56:37Z,2022-04-01
‘JV,50.76298522949219,3324,11253,3822,11458,FALSE,2022-04-23T13:56:37Z,2022-04-01
#};=#=*°}0,55.70236587524414,4243,11043,5521,11469,FALSE,2022-04-23T13:56:37Z,2022-04-01
}040}0,67.359710693359375,5592,11043,7190,11469,FALSE,2022-04-23T13:56:37Z,2022-04-01
(=F,40.46216583251953,7438,11043,8787,11469,FALSE,2022-04-23T13:56:37Z,2022-04-01
Mm,0,9203,11047,9804,11370,FALSE,2022-04-23T13:56:37Z,2022-04-01
hmhiHeHeHeHHEeHHi,0,10288,11047,21783,11370,FALSE,2022-04-23T13:56:37Z,2022-04-01
i,56.560386657714844,22266,11047,22867,11370,FALSE,2022-04-23T13:56:37Z,2022-04-01
&,71.536041259765625,23351,11047,23645,11370,FALSE,2022-04-23T13:56:37Z,2022-04-01
fi,23.8621826171875,3309,11385,8719,11795,FALSE,2022-04-23T13:56:37Z,2022-04-01
onellhrlCUchrrlCU,0,9203,11385,11989,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
OrCrUlUCUC,0,12473,11385,13074,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
OrULlUC,0,13558,11385,14159,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
 OrCUlUC,0,14642,11385,15244,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
 OrCrUlUC,0,15727,11385,16343,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
RU,9.868782043457031,16820,11381,16890,11799,FALSE,2022-04-23T13:56:37Z,2022-04-01
OCrCUC,0,16812,11385,17428,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
 ErCrULUCUC,0,17912,11385,18513,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
 ECTLlLlUlUrDCELlUrlUCUr,0,18997,11385,22867,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
CU,12.060073852539062,23351,11385,23645,11692,FALSE,2022-04-23T13:56:37Z,2022-04-01
J,0,3309,11912,3822,12118,FALSE,2022-04-23T13:56:37Z,2022-04-01
=“@6£:,10.88946533203125,4547,11703,5116,12129,FALSE,2022-04-23T13:56:37Z,2022-04-01
00000,0,4072,11707,8719,12030,FALSE,2022-04-23T13:56:37Z,2022-04-01
nmi,44.88389587402344,9203,11707,10889,12030,FALSE,2022-04-23T13:56:37Z,2022-04-01
hhiHHHeHHHHi,0,11373,11707,21783,12030,FALSE,2022-04-23T13:56:37Z,2022-04-01
