date,cash_rate,scrape_date
2023-02-01,3.2579999999999956,2023-03-01
2023-03-01,3.4950000000000045,2023-03-01
2023-04-01,3.694999999999993,2023-03-01
2023-05-01,3.885000000000005,2023-03-01
2023-06-01,3.989999999999995,2023-03-01
2023-07-01,4.079999999999998,2023-03-01
2023-08-01,4.144999999999996,2023-03-01
2023-09-01,4.174999999999997,2023-03-01
2023-10-01,4.180000000000007,2023-03-01
2023-11-01,4.170000000000002,2023-03-01
2023-12-01,4.144999999999996,2023-03-01
2024-01-01,4.144999999999996,2023-03-01
2024-02-01,4.114999999999995,2023-03-01
2024-03-01,4.075000000000003,2023-03-01
2024-04-01,4.030000000000001,2023-03-01
2024-05-01,3.989999999999995,2023-03-01
2024-06-01,3.930000000000007,2023-03-01
2024-07-01,3.864999999999995,2023-03-01
2024-08-01,3.8149999999999977,2023-03-01
