date,cash_rate,scrape_date
2022-05-01,0.2849999999999966,2022-05-18
2022-06-01,0.5750000000000028,2022-05-18
2022-07-01,0.9699999999999989,2022-05-18
2022-08-01,1.4249999999999972,2022-05-18
2022-09-01,1.7199999999999989,2022-05-18
2022-10-01,2.094999999999999,2022-05-18
2022-11-01,2.5,2022-05-18
2022-12-01,2.7150000000000034,2022-05-18
2023-01-01,2.7650000000000006,2022-05-18
2023-02-01,2.969999999999999,2022-05-18
2023-03-01,3.1299999999999955,2022-05-18
2023-04-01,3.2549999999999955,2022-05-18
2023-05-01,3.355000000000004,2022-05-18
2023-06-01,3.394999999999996,2022-05-18
2023-07-01,3.4200000000000017,2022-05-18
2023-08-01,3.4200000000000017,2022-05-18
2023-09-01,3.4200000000000017,2022-05-18
2023-10-01,3.4150000000000063,2022-05-18
