date,cash_rate,scrape_date
2022-06-01,0.7000000000000028,2022-06-16
2022-07-01,1.3050000000000068,2022-06-16
2022-08-01,1.9200000000000017,2022-06-16
2022-09-01,2.344999999999999,2022-06-16
2022-10-01,2.8599999999999994,2022-06-16
2022-11-01,3.385000000000005,2022-06-16
2022-12-01,3.7099999999999937,2022-06-16
2023-01-01,3.799999999999997,2022-06-16
2023-02-01,4.075000000000003,2022-06-16
2023-03-01,4.224999999999994,2022-06-16
2023-04-01,4.269999999999996,2022-06-16
2023-05-01,4.290000000000006,2022-06-16
2023-06-01,4.295000000000002,2022-06-16
2023-07-01,4.295000000000002,2022-06-16
2023-08-01,4.290000000000006,2022-06-16
2023-09-01,4.284999999999997,2022-06-16
2023-10-01,4.2549999999999955,2022-06-16
2023-11-01,4.215000000000003,2022-06-16
