X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-10-07
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-10-07
,,,,,,,,,,2022-10-07
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-07
,,,,,,,,,,2022-10-07
Oct 2022,"6,788.0","6,788.0","6,755.0","6,772.0","6,766.0",-55.0,"2,329",-40,25,2022-10-07
Nov 2022,-,-,-,-,"6,752.0",-55.0,-,-,-,2022-10-07
Dec 2022,"6,811.0","6,813.0","6,746.0","6,763.0","6,764.0",-56.0,"234,461","1,831","43,328",2022-10-07
Mar 2023,-,-,-,-,"6,701.0",-56.0,255,-,-,2022-10-07
Jun 2023,-,-,-,-,"6,701.0",-56.0,52,-,-,2022-10-07
Sep 2023,-,-,-,-,"6,634.0",-56.0,-,-,-,2022-10-07
Dec 2023,-,-,-,-,"6,615.0",-56.0,-,-,-,2022-10-07
Mar 2024,-,-,-,-,"6,548.0",-56.0,-,-,-,2022-10-07
,,,,,,,,,,2022-10-07
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"237,097","1,791","43,353",2022-10-07
,,,,,,,,,,2022-10-07
,,,,,,,,,,2022-10-07
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-10-07
,,,,,,,,,,2022-10-07
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-07
,,,,,,,,,,2022-10-07
Dec 2022,"1,268.0","1,268.0","1,268.0","1,268.0","1,268.0",-27.0,"5,857",-,6,2022-10-07
Mar 2023,-,-,-,-,"1,268.0",-27.0,-,-,-,2022-10-07
Jun 2023,-,-,-,-,"1,268.0",-27.0,-,-,-,2022-10-07
Sep 2023,-,-,-,-,"1,272.0",-27.0,-,-,-,2022-10-07
,,,,,,,,,,2022-10-07
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"5,857",-,6,2022-10-07
,,,,,,,,,,2022-10-07
,,,,,,,,,,2022-10-07
