X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-09-01
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-09-01
,,,,,,,,,,2022-09-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-01
,,,,,,,,,,2022-09-01
Sep 2022,"6,903.0","6,903.0","6,785.0","6,796.0","6,797.0",-111.0,"254,143","8,326","76,634",2022-09-01
Oct 2022,-,-,-,-,"6,804.0",-111.0,9,-,-,2022-09-01
Nov 2022,-,-,-,-,"6,782.0",-111.0,-,-,-,2022-09-01
Dec 2022,"6,840.0","6,840.0","6,795.0","6,804.0","6,806.0",-110.0,"1,314",1,12,2022-09-01
Mar 2023,-,-,-,-,"6,739.0",-110.0,-,-,-,2022-09-01
Jun 2023,-,-,-,-,"6,739.0",-110.0,52,-,-,2022-09-01
Sep 2023,-,-,-,-,"6,672.0",-110.0,-,-,-,2022-09-01
Dec 2023,-,-,-,-,"6,653.0",-110.0,-,-,-,2022-09-01
,,,,,,,,,,2022-09-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"255,518","8,327","76,646",2022-09-01
,,,,,,,,,,2022-09-01
,,,,,,,,,,2022-09-01
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-09-01
,,,,,,,,,,2022-09-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-01
,,,,,,,,,,2022-09-01
Sep 2022,-,-,-,-,"1,373.0",-32.0,"2,701",-814,800,2022-09-01
Dec 2022,-,-,-,-,"1,373.0",-32.0,-,-,-,2022-09-01
Mar 2023,-,-,-,-,"1,373.0",-32.0,-,-,-,2022-09-01
Jun 2023,-,-,-,-,"1,373.0",-32.0,-,-,-,2022-09-01
,,,,,,,,,,2022-09-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"2,701",-814,800,2022-09-01
,,,,,,,,,,2022-09-01
,,,,,,,,,,2022-09-01
