X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-03-10
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-03-10
,,,,,,,,,,2023-03-10
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-10
,,,,,,,,,,2023-03-10
Mar 2023,"7,321.0","7,331.0","7,134.0","7,148.0","7,148.0",-172.0,"289,637","-37,403","100,239",2023-03-10
Apr 2023,-,-,-,-,"7,170.0",-158.0,13,10,10,2023-03-10
May 2023,-,-,-,-,"7,149.0",-158.0,-,-,-,2023-03-10
Jun 2023,"7,350.0","7,360.0","7,166.0","7,179.0","7,179.0",-173.0,"28,314","21,883","37,606",2023-03-10
Sep 2023,-,-,-,-,"7,112.0",-173.0,-,-,-,2023-03-10
Dec 2023,-,-,-,-,"7,093.0",-173.0,-,-,-,2023-03-10
Mar 2024,-,-,-,-,"7,026.0",-173.0,-,-,-,2023-03-10
Jun 2024,-,-,-,-,"7,026.0",-173.0,-,-,-,2023-03-10
,,,,,,,,,,2023-03-10
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"317,964","-15,510","137,855",2023-03-10
,,,,,,,,,,2023-03-10
,,,,,,,,,,2023-03-10
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-03-10
,,,,,,,,,,2023-03-10
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-10
,,,,,,,,,,2023-03-10
Mar 2023,-,-,-,-,"1,395.0",-26.0,"3,103",-,20,2023-03-10
Jun 2023,-,-,-,-,"1,395.0",-26.0,-,-,-,2023-03-10
Sep 2023,-,-,-,-,"1,399.0",-26.0,-,-,-,2023-03-10
Dec 2023,-,-,-,-,"1,413.0",-26.0,-,-,-,2023-03-10
,,,,,,,,,,2023-03-10
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"3,103",-,20,2023-03-10
,,,,,,,,,,2023-03-10
,,,,,,,,,,2023-03-10
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-03-10
,,,,,,,,,,2023-03-10
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-10
,,,,,,,,,,2023-03-10
Mar 2023,-,-,-,-,"6,926.0",-199.0,9,-,-,2023-03-10
Jun 2023,-,-,-,-,"6,926.0",-199.0,-,-,-,2023-03-10
Sep 2023,-,-,-,-,"6,851.0",-199.0,-,-,-,2023-03-10
Dec 2023,-,-,-,-,"6,873.0",-199.0,-,-,-,2023-03-10
,,,,,,,,,,2023-03-10
