X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-07-20
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-07-20
,,,,,,,,,,2022-07-20
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-20
,,,,,,,,,,2022-07-20
Jul 2022,"6,732.0","6,776.0","6,732.0","6,764.0","6,771.0",121.0,"2,589","2,128","2,280",2022-07-20
Aug 2022,"6,738.0","6,738.0","6,738.0","6,738.0","6,756.0",127.0,11,1,1,2022-07-20
Sep 2022,"6,554.0","6,676.0","6,527.0","6,669.0","6,669.0",122.0,"248,692",-834,"49,750",2022-07-20
Dec 2022,-,-,-,-,"6,684.0",123.0,593,-,-,2022-07-20
Mar 2023,-,-,-,-,"6,617.0",123.0,-,-,-,2022-07-20
Jun 2023,-,-,-,-,"6,617.0",123.0,2,-,-,2022-07-20
Sep 2023,-,-,-,-,"6,550.0",123.0,-,-,-,2022-07-20
Dec 2023,-,-,-,-,"6,531.0",123.0,-,-,-,2022-07-20
,,,,,,,,,,2022-07-20
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"251,887","1,295","52,031",2022-07-20
,,,,,,,,,,2022-07-20
,,,,,,,,,,2022-07-20
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-07-20
,,,,,,,,,,2022-07-20
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-20
,,,,,,,,,,2022-07-20
