X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-04-14
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Apr 2023,"7,322.0","7,368.0","7,322.0","7,368.0","7,369.0",38.0,"1,048",8,22,2023-04-14
May 2023,-,-,-,-,"7,358.0",37.0,12,-,-,2023-04-14
Jun 2023,"7,345.0","7,380.0","7,327.0","7,379.0","7,378.0",37.0,"244,469","1,470","35,191",2023-04-14
Sep 2023,-,-,-,-,"7,331.0",37.0,7,-,-,2023-04-14
Dec 2023,-,-,-,-,"7,312.0",37.0,-,-,-,2023-04-14
Mar 2024,-,-,-,-,"7,245.0",37.0,-,-,-,2023-04-14
Jun 2024,-,-,-,-,"7,245.0",37.0,-,-,-,2023-04-14
Sep 2024,-,-,-,-,"7,178.0",37.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"245,536","1,478","35,213",2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Jun 2023,"1,374.0","1,374.0","1,374.0","1,374.0","1,374.0",1.0,"2,144",-13,196,2023-04-14
Sep 2023,-,-,-,-,"1,378.0",1.0,-,-,-,2023-04-14
Dec 2023,-,-,-,-,"1,392.0",1.0,-,-,-,2023-04-14
Mar 2024,-,-,-,-,"1,392.0",1.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"2,144",-13,196,2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Jun 2023,-,-,-,-,"6,950.0",54.0,"1,893",-,-,2023-04-14
Sep 2023,-,-,-,-,"6,875.0",54.0,-,-,-,2023-04-14
Dec 2023,-,-,-,-,"6,897.0",54.0,-,-,-,2023-04-14
Mar 2024,-,-,-,-,"6,897.0",54.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"1,893",-,-,2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Jun 2023,-,-,-,-,"6,295.0",52.0,60,-,-,2023-04-14
Sep 2023,-,-,-,-,"6,165.0",52.0,-,-,-,2023-04-14
Dec 2023,-,-,-,-,"6,230.0",52.0,-,-,-,2023-04-14
Mar 2024,-,-,-,-,"6,230.0",52.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,60,-,-,2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Apr 2023,-,-,-,-,"7,369.0",38.0,-,-,-,2023-04-14
May 2023,-,-,-,-,"7,358.0",37.0,-,-,-,2023-04-14
Jun 2023,-,-,-,-,"7,378.0",37.0,-,-,-,2023-04-14
Sep 2023,-,-,-,-,"7,331.0",37.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Jun 2023,-,-,-,-,"9,105.0",46.0,"4,478",-,-,2023-04-14
Sep 2023,-,-,-,-,"9,016.0",46.0,-,-,-,2023-04-14
Dec 2023,-,-,-,-,"9,028.0",46.0,-,-,-,2023-04-14
Mar 2024,-,-,-,-,"9,006.0",46.0,-,-,-,2023-04-14
Jun 2024,-,-,-,-,"9,043.0",46.0,-,-,-,2023-04-14
Sep 2024,-,-,-,-,"9,043.0",46.0,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,478",-,-,2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Apr 2023,96.435,96.435,96.430,96.430,96.435,-,"42,183",-180,201,2023-04-14
May 2023,96.375,96.380,96.370,96.380,96.380,-,"24,501","1,289","2,575",2023-04-14
Jun 2023,96.345,96.355,96.340,96.355,96.355,-,"4,612",-14,91,2023-04-14
Jul 2023,96.335,96.355,96.335,96.355,96.350,0.005,"1,673",-220,260,2023-04-14
Aug 2023,96.355,96.360,96.355,96.360,96.345,-,"3,364",5,180,2023-04-14
Sep 2023,-,-,-,-,96.360,-0.010,"1,007",-,-,2023-04-14
Oct 2023,-,-,-,-,96.395,-0.005,350,-,-,2023-04-14
Nov 2023,-,-,-,-,96.435,-0.005,575,-,-,2023-04-14
Dec 2023,-,-,-,-,96.495,-,325,-,-,2023-04-14
Jan 2024,-,-,-,-,96.500,-0.005,-,-,-,2023-04-14
Feb 2024,-,-,-,-,96.535,-0.005,450,-,-,2023-04-14
Mar 2024,-,-,-,-,96.590,-,-,-,-,2023-04-14
Apr 2024,-,-,-,-,96.640,0.020,-,-,-,2023-04-14
May 2024,-,-,-,-,96.680,0.020,-,-,-,2023-04-14
Jun 2024,-,-,-,-,96.725,0.015,-,-,-,2023-04-14
Jul 2024,-,-,-,-,96.775,0.015,-,-,-,2023-04-14
Aug 2024,-,-,-,-,96.810,0.015,-,-,-,2023-04-14
Sep 2024,-,-,-,-,96.845,0.010,-,-,-,2023-04-14
,,,,,,,,,,2023-04-14
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"79,040",880,"3,307",2023-04-14
,,,,,,,,,,2023-04-14
,,,,,,,,,,2023-04-14
IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),2023-04-14
,,,,,,,,,,2023-04-14
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-04-14
,,,,,,,,,,2023-04-14
Jun 2023,96.350,96.380,96.330,96.340,96.350,-,"209,346",113,"25,495",2023-04-14
Sep 2023,96.340,96.360,96.300,96.330,96.340,-,"127,144","-1,599","13,272",2023-04-14
Dec 2023,96.400,96.420,96.340,96.380,96.390,-,"158,526","3,528","16,804",2023-04-14
Mar 2024,96.500,96.520,96.430,96.470,96.470,-0.020,"105,636","1,274","10,047",2023-04-14
Jun 2024,96.610,96.630,96.540,96.580,96.580,-0.020,"98,902","1,268","6,557",2023-04-14
Sep 2024,96.710,96.720,96.640,96.680,96.680,-0.030,"76,389",-595,"5,357",2023-04-14
Dec 2024,96.790,96.800,96.720,96.770,96.770,-0.020,"51,686",568,"2,437",2023-04-14
Mar 2025,96.860,96.870,96.790,96.820,96.820,-0.030,"28,757",54,"1,395",2023-04-14
Jun 2025,96.860,96.860,96.850,96.850,96.850,-0.050,"1,495",-3,12,2023-04-14
Sep 2025,96.880,96.880,96.880,96.880,96.870,-0.050,382,-24,25,2023-04-14
Dec 2025,96.880,96.890,96.880,96.890,96.860,-0.060,132,-11,13,2023-04-14
Mar 2026,-,-,-,-,96.820,-0.060,89,-,-,2023-04-14
Jun 2026,-,-,-,-,96.800,-0.060,7,-,-,2023-04-14
Sep 2026,-,-,-,-,96.760,-0.060,60,-,-,2023-04-14
Dec 2026,-,-,-,-,96.600,-0.060,70,-,-,2023-04-14
Mar 2027,-,-,-,-,96.590,-0.060,-,-,-,2023-04-14
