X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-07-06
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-07-06
,,,,,,,,,,2022-07-06
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-06
,,,,,,,,,,2022-07-06
Jul 2022,"6,581.0","6,581.0","6,573.0","6,573.0","6,591.0",-50.0,101,1,2,2022-07-06
Aug 2022,-,-,-,-,"6,574.0",-50.0,10,-,-,2022-07-06
Sep 2022,"6,534.0","6,556.0","6,411.0","6,492.0","6,493.0",-48.0,"258,368","3,839","51,115",2022-07-06
Dec 2022,-,-,-,-,"6,494.0",-48.0,405,-,-,2022-07-06
Mar 2023,-,-,-,-,"6,427.0",-48.0,-,-,-,2022-07-06
Jun 2023,-,-,-,-,"6,427.0",-48.0,2,-,-,2022-07-06
Sep 2023,-,-,-,-,"6,360.0",-48.0,-,-,-,2022-07-06
Dec 2023,-,-,-,-,"6,341.0",-48.0,-,-,-,2022-07-06
,,,,,,,,,,2022-07-06
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"258,886","3,840","51,117",2022-07-06
,,,,,,,,,,2022-07-06
,,,,,,,,,,2022-07-06
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-07-06
,,,,,,,,,,2022-07-06
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-06
,,,,,,,,,,2022-07-06
Sep 2022,"1,363.0","1,363.0","1,363.0","1,363.0","1,363.0",8.0,"4,591","1,666","1,890",2022-07-06
Dec 2022,-,-,-,-,"1,363.0",8.0,-,-,-,2022-07-06
Mar 2023,-,-,-,-,"1,363.0",8.0,-,-,-,2022-07-06
Jun 2023,-,-,-,-,"1,363.0",8.0,-,-,-,2022-07-06
,,,,,,,,,,2022-07-06
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,591","1,666","1,890",2022-07-06
,,,,,,,,,,2022-07-06
,,,,,,,,,,2022-07-06
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-07-06
,,,,,,,,,,2022-07-06
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-06
,,,,,,,,,,2022-07-06
Sep 2022,-,-,-,-,"6,539.0",58.0,10,-,-,2022-07-06
Dec 2022,-,-,-,-,"6,539.0",58.0,-,-,-,2022-07-06
Mar 2023,-,-,-,-,"6,539.0",58.0,-,-,-,2022-07-06
Jun 2023,-,-,-,-,"6,539.0",58.0,-,-,-,2022-07-06
,,,,,,,,,,2022-07-06
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,10,-,-,2022-07-06
,,,,,,,,,,2022-07-06
,,,,,,,,,,2022-07-06
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2022-07-06
,,,,,,,,,,2022-07-06
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-06
,,,,,,,,,,2022-07-06
Sep 2022,-,-,-,-,"4,720.0",-297.0,4,-,-,2022-07-06
Dec 2022,-,-,-,-,"4,720.0",-297.0,-,-,-,2022-07-06
Mar 2023,-,-,-,-,"4,720.0",-297.0,-,-,-,2022-07-06
Jun 2023,-,-,-,-,"4,689.0",-297.0,-,-,-,2022-07-06
,,,,,,,,,,2022-07-06
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,4,-,-,2022-07-06
,,,,,,,,,,2022-07-06
,,,,,,,,,,2022-07-06
