X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Jul 2022,-,-,-,-,"6,556.0",-13.0,-,-,-,2022-07-01
Aug 2022,-,-,-,-,"6,539.0",-13.0,-,-,-,2022-07-01
Sep 2022,"6,439.0","6,439.0","6,439.0","6,439.0","6,449.0",-12.0,23,-,2,2022-07-01
Dec 2022,-,-,-,-,"6,450.0",-12.0,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,23,-,2,2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,-,-,-,-,"7,719.0",-33.0,-,-,-,2022-07-01
Dec 2022,-,-,-,-,"7,724.0",-33.0,-,-,-,2022-07-01
Mar 2023,-,-,-,-,"7,730.0",-33.0,-,-,-,2022-07-01
Jun 2023,-,-,-,-,"7,745.0",-33.0,-,-,-,2022-07-01
Sep 2023,-,-,-,-,"7,656.0",-33.0,-,-,-,2022-07-01
Dec 2023,-,-,-,-,"7,668.0",-33.0,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Jun 2022,-,-,-,-,99.306,-0.004,"21,742",-275,-,2022-07-01
Jul 2022,98.815,98.820,98.810,98.820,98.825,0.010,"18,519",875,"1,531",2022-07-01
Aug 2022,98.315,98.335,98.315,98.315,98.330,0.015,"6,829",93,138,2022-07-01
Sep 2022,97.985,97.995,97.985,97.985,98.000,0.015,"1,404",9,9,2022-07-01
Oct 2022,97.610,97.610,97.610,97.610,97.640,0.035,964,20,20,2022-07-01
Nov 2022,-,-,-,-,97.240,0.060,"2,454",-,-,2022-07-01
Dec 2022,96.925,96.960,96.925,96.960,96.950,0.080,"2,676",-13,40,2022-07-01
Jan 2023,-,-,-,-,96.875,0.080,"2,055",-,-,2022-07-01
Feb 2023,-,-,-,-,96.655,0.085,"1,079",-,-,2022-07-01
Mar 2023,-,-,-,-,96.500,0.090,76,-,-,2022-07-01
Apr 2023,-,-,-,-,96.465,0.095,20,-,-,2022-07-01
May 2023,-,-,-,-,96.440,0.100,200,-,-,2022-07-01
Jun 2023,-,-,-,-,96.435,0.130,-,-,-,2022-07-01
Jul 2023,-,-,-,-,96.435,0.170,52,-,-,2022-07-01
Aug 2023,-,-,-,-,96.440,0.175,150,-,-,2022-07-01
Sep 2023,-,-,-,-,96.465,0.190,20,-,-,2022-07-01
Oct 2023,-,-,-,-,96.505,0.200,-,-,-,2022-07-01
Nov 2023,-,-,-,-,96.535,0.200,-,-,-,2022-07-01
Dec 2023,-,-,-,-,96.575,-,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"58,240",709,"1,738",2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
