X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-07-15
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-07-15
,,,,,,,,,,2022-07-15
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-15
,,,,,,,,,,2022-07-15
Jul 2022,-,-,-,-,"6,607.0",-37.0,296,5,10,2022-07-15
Aug 2022,-,-,-,-,"6,590.0",-37.0,10,-,-,2022-07-15
Sep 2022,"6,532.0","6,535.0","6,427.0","6,503.0","6,502.0",-39.0,"256,583",549,"52,865",2022-07-15
Dec 2022,-,-,-,-,"6,503.0",-39.0,421,16,16,2022-07-15
Mar 2023,-,-,-,-,"6,436.0",-39.0,-,-,-,2022-07-15
Jun 2023,-,-,-,-,"6,436.0",-39.0,2,-,-,2022-07-15
Sep 2023,-,-,-,-,"6,369.0",-39.0,-,-,-,2022-07-15
Dec 2023,-,-,-,-,"6,350.0",-39.0,-,-,-,2022-07-15
,,,,,,,,,,2022-07-15
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"257,312",570,"52,891",2022-07-15
,,,,,,,,,,2022-07-15
,,,,,,,,,,2022-07-15
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-07-15
,,,,,,,,,,2022-07-15
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-15
,,,,,,,,,,2022-07-15
Sep 2022,-,-,-,-,"1,374.0",11.0,"5,208",-,25,2022-07-15
Dec 2022,-,-,-,-,"1,374.0",11.0,-,-,-,2022-07-15
Mar 2023,-,-,-,-,"1,374.0",11.0,-,-,-,2022-07-15
Jun 2023,-,-,-,-,"1,374.0",11.0,-,-,-,2022-07-15
,,,,,,,,,,2022-07-15
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"5,208",-,25,2022-07-15
,,,,,,,,,,2022-07-15
,,,,,,,,,,2022-07-15
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-07-15
,,,,,,,,,,2022-07-15
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-15
,,,,,,,,,,2022-07-15
Sep 2022,-,-,-,-,"6,560.0",-26.0,10,-,-,2022-07-15
Dec 2022,-,-,-,-,"6,560.0",-26.0,-,-,-,2022-07-15
Mar 2023,-,-,-,-,"6,560.0",-26.0,-,-,-,2022-07-15
Jun 2023,-,-,-,-,"6,560.0",-26.0,-,-,-,2022-07-15
,,,,,,,,,,2022-07-15
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,10,-,-,2022-07-15
,,,,,,,,,,2022-07-15
,,,,,,,,,,2022-07-15
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2022-07-15
,,,,,,,,,,2022-07-15
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-15
,,,,,,,,,,2022-07-15
Sep 2022,-,-,-,-,"4,627.0",-140.0,4,-,-,2022-07-15
Dec 2022,-,-,-,-,"4,627.0",-140.0,-,-,-,2022-07-15
Mar 2023,-,-,-,-,"4,627.0",-140.0,-,-,-,2022-07-15
Jun 2023,-,-,-,-,"4,596.0",-140.0,-,-,-,2022-07-15
,,,,,,,,,,2022-07-15
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,4,-,-,2022-07-15
,,,,,,,,,,2022-07-15
,,,,,,,,,,2022-07-15
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2022-07-15
,,,,,,,,,,2022-07-15
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-15
,,,,,,,,,,2022-07-15
Jul 2022,-,-,-,-,"6,607.0",-37.0,-,-,-,2022-07-15
Aug 2022,-,-,-,-,"6,590.0",-37.0,-,-,-,2022-07-15
Sep 2022,"6,505.0","6,505.0","6,505.0","6,505.0","6,502.0",-39.0,23,-,4,2022-07-15
Dec 2022,-,-,-,-,"6,503.0",-39.0,-,-,-,2022-07-15
,,,,,,,,,,2022-07-15
