X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-01-04
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-01-04
,,,,,,,,,,2023-01-04
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-04
,,,,,,,,,,2023-01-04
Jan 2023,"6,970.0","7,008.0","6,970.0","7,008.0","7,062.0",107.0,155,6,36,2023-01-04
Feb 2023,-,-,-,-,"7,072.0",107.0,18,18,18,2023-01-04
Mar 2023,"6,895.0","7,008.0","6,891.0","6,997.0","6,999.0",106.0,"248,284",-861,"59,640",2023-01-04
Jun 2023,-,-,-,-,"7,015.0",106.0,364,-,-,2023-01-04
Sep 2023,-,-,-,-,"6,948.0",106.0,-,-,-,2023-01-04
Dec 2023,-,-,-,-,"6,929.0",106.0,-,-,-,2023-01-04
Mar 2024,-,-,-,-,"6,862.0",106.0,-,-,-,2023-01-04
Jun 2024,-,-,-,-,"6,862.0",106.0,-,-,-,2023-01-04
,,,,,,,,,,2023-01-04
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"248,821",-837,"59,694",2023-01-04
,,,,,,,,,,2023-01-04
,,,,,,,,,,2023-01-04
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-01-04
,,,,,,,,,,2023-01-04
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-04
,,,,,,,,,,2023-01-04
Mar 2023,-,-,-,-,"1,368.0",22.0,"4,328",-,-,2023-01-04
Jun 2023,-,-,-,-,"1,368.0",22.0,-,-,-,2023-01-04
Sep 2023,-,-,-,-,"1,372.0",22.0,-,-,-,2023-01-04
Dec 2023,-,-,-,-,"1,386.0",22.0,-,-,-,2023-01-04
,,,,,,,,,,2023-01-04
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,328",-,-,2023-01-04
,,,,,,,,,,2023-01-04
,,,,,,,,,,2023-01-04
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-01-04
,,,,,,,,,,2023-01-04
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-04
,,,,,,,,,,2023-01-04
Mar 2023,-,-,-,-,"7,082.0",155.0,7,-,-,2023-01-04
Jun 2023,-,-,-,-,"7,082.0",155.0,-,-,-,2023-01-04
Sep 2023,-,-,-,-,"7,007.0",155.0,-,-,-,2023-01-04
Dec 2023,-,-,-,-,"7,029.0",155.0,-,-,-,2023-01-04
,,,,,,,,,,2023-01-04
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,7,-,-,2023-01-04
,,,,,,,,,,2023-01-04
,,,,,,,,,,2023-01-04
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2023-01-04
,,,,,,,,,,2023-01-04
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-04
,,,,,,,,,,2023-01-04
Mar 2023,-,-,-,-,"6,036.0",74.0,9,-,-,2023-01-04
Jun 2023,-,-,-,-,"6,036.0",74.0,-,-,-,2023-01-04
Sep 2023,-,-,-,-,"6,006.0",74.0,-,-,-,2023-01-04
Dec 2023,-,-,-,-,"6,071.0",74.0,-,-,-,2023-01-04
,,,,,,,,,,2023-01-04
