X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-02-03
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Feb 2023,"7,570.0","7,570.0","7,570.0","7,570.0","7,572.0",53.0,39,-2,2,2023-02-03
Mar 2023,"7,447.0","7,501.0","7,436.0","7,501.0","7,501.0",54.0,"293,659","8,779","50,226",2023-02-03
Apr 2023,-,-,-,-,"7,501.0",54.0,-,-,-,2023-02-03
Jun 2023,-,-,-,-,"7,531.0",53.0,"1,127",-,-,2023-02-03
Sep 2023,-,-,-,-,"7,464.0",53.0,-,-,-,2023-02-03
Dec 2023,-,-,-,-,"7,445.0",53.0,-,-,-,2023-02-03
Mar 2024,-,-,-,-,"7,378.0",53.0,-,-,-,2023-02-03
Jun 2024,-,-,-,-,"7,378.0",53.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"294,825","8,777","50,228",2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Mar 2023,"1,515.0","1,515.0","1,515.0","1,515.0","1,510.0",40.0,"4,262",2,2,2023-02-03
Jun 2023,-,-,-,-,"1,510.0",40.0,-,-,-,2023-02-03
Sep 2023,-,-,-,-,"1,514.0",40.0,-,-,-,2023-02-03
Dec 2023,-,-,-,-,"1,528.0",40.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,262",2,2,2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Mar 2023,-,-,-,-,"7,508.0",90.0,7,-,-,2023-02-03
Jun 2023,-,-,-,-,"7,508.0",90.0,-,-,-,2023-02-03
Sep 2023,-,-,-,-,"7,433.0",90.0,-,-,-,2023-02-03
Dec 2023,-,-,-,-,"7,455.0",90.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,7,-,-,2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Mar 2023,-,-,-,-,"6,200.0",-77.0,11,-,-,2023-02-03
Jun 2023,-,-,-,-,"6,200.0",-77.0,-,-,-,2023-02-03
Sep 2023,-,-,-,-,"6,170.0",-77.0,-,-,-,2023-02-03
Dec 2023,-,-,-,-,"6,235.0",-77.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,11,-,-,2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Feb 2023,-,-,-,-,"7,572.0",53.0,-,-,-,2023-02-03
Mar 2023,-,-,-,-,"7,501.0",54.0,-,-,-,2023-02-03
Apr 2023,-,-,-,-,"7,501.0",54.0,-,-,-,2023-02-03
Jun 2023,-,-,-,-,"7,531.0",53.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Mar 2023,-,-,-,-,"9,186.0",61.0,"1,500",-,-,2023-02-03
Jun 2023,-,-,-,-,"9,201.0",61.0,-,-,-,2023-02-03
Sep 2023,-,-,-,-,"9,112.0",61.0,-,-,-,2023-02-03
Dec 2023,-,-,-,-,"9,124.0",61.0,-,-,-,2023-02-03
Mar 2024,-,-,-,-,"9,102.0",61.0,-,-,-,2023-02-03
Jun 2024,-,-,-,-,"9,139.0",61.0,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"1,500",-,-,2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Feb 2023,96.755,96.760,96.750,96.755,96.760,-,"45,461","3,882","6,071",2023-02-03
Mar 2023,96.600,96.615,96.590,96.600,96.600,0.010,"21,215",192,200,2023-02-03
Apr 2023,96.510,96.525,96.510,96.525,96.520,0.040,"6,686",231,241,2023-02-03
May 2023,96.430,96.430,96.430,96.430,96.435,0.065,"2,524",10,10,2023-02-03
Jun 2023,96.380,96.405,96.380,96.405,96.400,0.075,523,19,127,2023-02-03
Jul 2023,-,-,-,-,96.370,0.085,935,-,-,2023-02-03
Aug 2023,-,-,-,-,96.380,0.100,"1,574",-,-,2023-02-03
Sep 2023,-,-,-,-,96.375,0.085,610,-,-,2023-02-03
Oct 2023,-,-,-,-,96.415,0.105,150,-,-,2023-02-03
Nov 2023,-,-,-,-,96.450,0.110,-,-,-,2023-02-03
Dec 2023,-,-,-,-,96.500,0.120,351,-,-,2023-02-03
Jan 2024,-,-,-,-,96.510,0.120,-,-,-,2023-02-03
Feb 2024,-,-,-,-,96.545,0.125,300,-,-,2023-02-03
Mar 2024,-,-,-,-,96.590,0.125,-,-,-,2023-02-03
Apr 2024,-,-,-,-,96.645,0.130,-,-,-,2023-02-03
May 2024,-,-,-,-,96.685,0.130,-,-,-,2023-02-03
Jun 2024,-,-,-,-,96.735,0.135,-,-,-,2023-02-03
Jul 2024,-,-,-,-,96.785,0.135,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"80,329","4,334","6,649",2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),2023-02-03
,,,,,,,,,,2023-02-03
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-03
,,,,,,,,,,2023-02-03
Mar 2023,96.440,96.500,96.440,96.500,96.500,0.050,"231,025","7,725","29,531",2023-02-03
Jun 2023,96.210,96.320,96.210,96.300,96.300,0.090,"192,584","2,113","28,344",2023-02-03
Sep 2023,96.160,96.310,96.160,96.280,96.280,0.120,"154,038","-3,717","23,674",2023-02-03
Dec 2023,96.200,96.370,96.200,96.320,96.320,0.130,"157,354","-4,479","36,663",2023-02-03
Mar 2024,96.290,96.480,96.290,96.440,96.440,0.150,"121,600","2,870","15,656",2023-02-03
Jun 2024,96.430,96.620,96.430,96.580,96.590,0.160,"107,674",-750,"12,784",2023-02-03
Sep 2024,96.540,96.730,96.540,96.700,96.690,0.160,"55,217",-738,"5,955",2023-02-03
Dec 2024,96.630,96.810,96.630,96.780,96.780,0.170,"31,346",652,"3,871",2023-02-03
Mar 2025,-,-,-,-,96.810,0.160,464,-,-,2023-02-03
Jun 2025,-,-,-,-,96.810,0.150,228,-,-,2023-02-03
Sep 2025,-,-,-,-,96.820,0.150,296,-,-,2023-02-03
Dec 2025,-,-,-,-,96.820,0.150,41,-,-,2023-02-03
Mar 2026,-,-,-,-,96.780,0.150,4,-,-,2023-02-03
Jun 2026,-,-,-,-,96.760,0.150,7,-,-,2023-02-03
Sep 2026,-,-,-,-,96.760,0.150,80,-,-,2023-02-03
Dec 2026,-,-,-,-,96.480,0.150,80,-,-,2023-02-03
Mar 2027,-,-,-,-,96.480,0.150,-,-,-,2023-02-03
Jun 2027,-,-,-,-,96.480,0.150,-,-,-,2023-02-03
Sep 2027,-,-,-,-,96.480,0.150,-,-,-,2023-02-03
Dec 2027,-,-,-,-,96.480,0.150,-,-,-,2023-02-03
,,,,,,,,,,2023-02-03
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"1,052,038","3,676","156,478",2023-02-03
,,,,,,,,,,2023-02-03
,,,,,,,,,,2023-02-03
