X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-03-27
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-03-27
,,,,,,,,,,2023-03-27
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-27
,,,,,,,,,,2023-03-27
Apr 2023,"6,954.0","6,954.0","6,953.0","6,953.0","6,987.0",9.0,432,7,56,2023-03-27
May 2023,-,-,-,-,"6,975.0",9.0,11,-,-,2023-03-27
Jun 2023,"6,981.0","7,014.0","6,908.0","6,991.0","6,992.0",9.0,"247,728","1,825","34,546",2023-03-27
Sep 2023,"6,844.0","6,860.0","6,844.0","6,860.0","6,925.0",9.0,3,3,3,2023-03-27
Dec 2023,-,-,-,-,"6,906.0",9.0,-,-,-,2023-03-27
Mar 2024,-,-,-,-,"6,839.0",9.0,-,-,-,2023-03-27
Jun 2024,-,-,-,-,"6,839.0",9.0,-,-,-,2023-03-27
Sep 2024,-,-,-,-,"6,772.0",9.0,-,-,-,2023-03-27
,,,,,,,,,,2023-03-27
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"248,174","1,835","34,605",2023-03-27
,,,,,,,,,,2023-03-27
,,,,,,,,,,2023-03-27
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-03-27
,,,,,,,,,,2023-03-27
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-27
,,,,,,,,,,2023-03-27
Jun 2023,"1,347.0","1,347.0","1,347.0","1,347.0","1,347.0",22.0,"2,297",-60,63,2023-03-27
Sep 2023,-,-,-,-,"1,351.0",22.0,-,-,-,2023-03-27
Dec 2023,-,-,-,-,"1,365.0",22.0,-,-,-,2023-03-27
Mar 2024,-,-,-,-,"1,365.0",22.0,-,-,-,2023-03-27
,,,,,,,,,,2023-03-27
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"2,297",-60,63,2023-03-27
,,,,,,,,,,2023-03-27
,,,,,,,,,,2023-03-27
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-03-27
,,,,,,,,,,2023-03-27
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-03-27
,,,,,,,,,,2023-03-27
Jun 2023,-,-,-,-,"6,608.0",-14.0,"1,893",-,-,2023-03-27
Sep 2023,-,-,-,-,"6,533.0",-14.0,-,-,-,2023-03-27
Dec 2023,-,-,-,-,"6,555.0",-14.0,-,-,-,2023-03-27
Mar 2024,-,-,-,-,"6,555.0",-14.0,-,-,-,2023-03-27
,,,,,,,,,,2023-03-27
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"1,893",-,-,2023-03-27
,,,,,,,,,,2023-03-27
,,,,,,,,,,2023-03-27
