X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-09-09
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-09-09
,,,,,,,,,,2022-09-09
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-09
,,,,,,,,,,2022-09-09
Sep 2022,"6,842.0","6,894.0","6,783.0","6,885.0","6,884.0",39.0,"254,133","-6,734","72,997",2022-09-09
Oct 2022,-,-,-,-,"6,892.0",40.0,608,-,-,2022-09-09
Nov 2022,-,-,-,-,"6,870.0",40.0,-,-,-,2022-09-09
Dec 2022,"6,847.0","6,898.0","6,795.0","6,889.0","6,890.0",39.0,"20,983","15,294","23,541",2022-09-09
Mar 2023,-,-,-,-,"6,823.0",39.0,252,-,-,2022-09-09
Jun 2023,-,-,-,-,"6,823.0",39.0,52,-,-,2022-09-09
Sep 2023,-,-,-,-,"6,756.0",39.0,-,-,-,2022-09-09
Dec 2023,-,-,-,-,"6,737.0",39.0,-,-,-,2022-09-09
,,,,,,,,,,2022-09-09
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"276,028","8,560","96,538",2022-09-09
,,,,,,,,,,2022-09-09
,,,,,,,,,,2022-09-09
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-09-09
,,,,,,,,,,2022-09-09
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-09
,,,,,,,,,,2022-09-09
Sep 2022,"1,376.0","1,376.0","1,376.0","1,376.0","1,376.0",4.0,"2,213",-1,1,2022-09-09
Dec 2022,-,-,-,-,"1,376.0",4.0,-,-,-,2022-09-09
Mar 2023,-,-,-,-,"1,376.0",4.0,-,-,-,2022-09-09
Jun 2023,-,-,-,-,"1,376.0",4.0,-,-,-,2022-09-09
,,,,,,,,,,2022-09-09
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"2,213",-1,1,2022-09-09
,,,,,,,,,,2022-09-09
,,,,,,,,,,2022-09-09
