X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-07-29
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-07-29
,,,,,,,,,,2022-07-29
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-29
,,,,,,,,,,2022-07-29
Aug 2022,"6,931.0","6,931.0","6,931.0","6,931.0","6,941.0",64.0,35,-1,1,2022-07-29
Sep 2022,"6,780.0","6,876.0","6,774.0","6,858.0","6,860.0",69.0,"241,107","5,894","64,550",2022-07-29
Oct 2022,-,-,-,-,"6,860.0",69.0,-,-,-,2022-07-29
Dec 2022,-,-,-,-,"6,874.0",69.0,593,-,-,2022-07-29
Mar 2023,-,-,-,-,"6,807.0",69.0,-,-,-,2022-07-29
Jun 2023,-,-,-,-,"6,807.0",69.0,2,-,-,2022-07-29
Sep 2023,-,-,-,-,"6,740.0",69.0,-,-,-,2022-07-29
Dec 2023,-,-,-,-,"6,721.0",69.0,-,-,-,2022-07-29
,,,,,,,,,,2022-07-29
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"241,737","5,893","64,551",2022-07-29
,,,,,,,,,,2022-07-29
,,,,,,,,,,2022-07-29
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-07-29
,,,,,,,,,,2022-07-29
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-29
,,,,,,,,,,2022-07-29
Sep 2022,"1,447.0","1,471.0","1,447.0","1,471.0","1,471.0",46.0,"5,252",121,144,2022-07-29
Dec 2022,-,-,-,-,"1,471.0",46.0,-,-,-,2022-07-29
Mar 2023,-,-,-,-,"1,471.0",46.0,-,-,-,2022-07-29
Jun 2023,-,-,-,-,"1,471.0",46.0,-,-,-,2022-07-29
,,,,,,,,,,2022-07-29
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"5,252",121,144,2022-07-29
,,,,,,,,,,2022-07-29
,,,,,,,,,,2022-07-29
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-07-29
,,,,,,,,,,2022-07-29
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-29
,,,,,,,,,,2022-07-29
Sep 2022,-,-,-,-,"6,983.0",44.0,8,-,-,2022-07-29
Dec 2022,-,-,-,-,"6,983.0",44.0,-,-,-,2022-07-29
Mar 2023,-,-,-,-,"6,983.0",44.0,-,-,-,2022-07-29
Jun 2023,-,-,-,-,"6,983.0",44.0,-,-,-,2022-07-29
,,,,,,,,,,2022-07-29
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,8,-,-,2022-07-29
,,,,,,,,,,2022-07-29
,,,,,,,,,,2022-07-29
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2022-07-29
,,,,,,,,,,2022-07-29
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-29
,,,,,,,,,,2022-07-29
Sep 2022,-,-,-,-,"4,967.0",42.0,2,-,-,2022-07-29
Dec 2022,-,-,-,-,"4,967.0",42.0,-,-,-,2022-07-29
Mar 2023,-,-,-,-,"4,967.0",42.0,-,-,-,2022-07-29
