X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-12-19
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Jan 2023,"7,140.0","7,140.0","7,138.0","7,138.0","7,146.0",-17.0,119,-1,2,2022-12-19
Feb 2023,-,-,-,-,"7,153.0",-17.0,-,-,-,2022-12-19
Mar 2023,"7,098.0","7,113.0","7,036.0","7,083.0","7,084.0",-15.0,"242,857","2,462","40,938",2022-12-19
Jun 2023,-,-,-,-,"7,100.0",-15.0,364,-,-,2022-12-19
Sep 2023,-,-,-,-,"7,033.0",-15.0,-,-,-,2022-12-19
Dec 2023,-,-,-,-,"7,014.0",-15.0,-,-,-,2022-12-19
Mar 2024,-,-,-,-,"6,947.0",-15.0,-,-,-,2022-12-19
Jun 2024,-,-,-,-,"6,947.0",-15.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"243,340","2,461","40,940",2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Mar 2023,-,-,-,-,"1,328.0",-15.0,904,-,-,2022-12-19
Jun 2023,-,-,-,-,"1,328.0",-15.0,-,-,-,2022-12-19
Sep 2023,-,-,-,-,"1,332.0",-15.0,-,-,-,2022-12-19
Dec 2023,-,-,-,-,"1,346.0",-15.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,904,-,-,2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Mar 2023,-,-,-,-,"7,149.0",-24.0,17,-,-,2022-12-19
Jun 2023,-,-,-,-,"7,149.0",-24.0,-,-,-,2022-12-19
Sep 2023,-,-,-,-,"7,074.0",-24.0,-,-,-,2022-12-19
Dec 2023,-,-,-,-,"7,096.0",-24.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,17,-,-,2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Mar 2023,-,-,-,-,"6,075.0",37.0,9,-,-,2022-12-19
Jun 2023,-,-,-,-,"6,075.0",37.0,-,-,-,2022-12-19
Sep 2023,-,-,-,-,"6,045.0",37.0,-,-,-,2022-12-19
Dec 2023,-,-,-,-,"6,110.0",37.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,9,-,-,2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Jan 2023,-,-,-,-,"7,146.0",-17.0,-,-,-,2022-12-19
Feb 2023,-,-,-,-,"7,153.0",-17.0,-,-,-,2022-12-19
Mar 2023,-,-,-,-,"7,084.0",-15.0,-,-,-,2022-12-19
Jun 2023,-,-,-,-,"7,100.0",-15.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Mar 2023,-,-,-,-,"8,698.0",-26.0,300,-,-,2022-12-19
Jun 2023,-,-,-,-,"8,713.0",-26.0,-,-,-,2022-12-19
Sep 2023,-,-,-,-,"8,624.0",-26.0,-,-,-,2022-12-19
Dec 2023,-,-,-,-,"8,636.0",-26.0,-,-,-,2022-12-19
Mar 2024,-,-,-,-,"8,614.0",-26.0,-,-,-,2022-12-19
Jun 2024,-,-,-,-,"8,651.0",-26.0,-,-,-,2022-12-19
,,,,,,,,,,2022-12-19
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,300,-,-,2022-12-19
,,,,,,,,,,2022-12-19
,,,,,,,,,,2022-12-19
IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),IB - 30 Day Interbank Cash Rate (RBA Interbank Overnight Cash),2022-12-19
,,,,,,,,,,2022-12-19
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-19
,,,,,,,,,,2022-12-19
Dec 2022,96.995,96.995,96.995,96.995,96.995,-,"44,042",-,459,2022-12-19
