X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-02-07
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-02-07
,,,,,,,,,,2023-02-07
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-02-07
,,,,,,,,,,2023-02-07
Feb 2023,"7,543.0","7,545.0","7,543.0","7,545.0","7,504.0",-40.0,99,49,63,2023-02-07
Mar 2023,"7,467.0","7,486.0","7,425.0","7,429.0","7,431.0",-40.0,"295,550",366,"49,874",2023-02-07
Apr 2023,-,-,-,-,"7,431.0",-40.0,-,-,-,2023-02-07
Jun 2023,"7,459.0","7,459.0","7,459.0","7,459.0","7,462.0",-40.0,"1,127",-,1,2023-02-07
Sep 2023,-,-,-,-,"7,395.0",-40.0,-,-,-,2023-02-07
Dec 2023,-,-,-,-,"7,376.0",-40.0,-,-,-,2023-02-07
Mar 2024,-,-,-,-,"7,309.0",-40.0,-,-,-,2023-02-07
Jun 2024,-,-,-,-,"7,309.0",-40.0,-,-,-,2023-02-07
,,,,,,,,,,2023-02-07
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"296,776",415,"49,938",2023-02-07
,,,,,,,,,,2023-02-07
,,,,,,,,,,2023-02-07
