X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-06-07
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-06-07
,,,,,,,,,,2022-06-07
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-06-07
,,,,,,,,,,2022-06-07
Jun 2022,"7,221.0","7,240.0","7,078.0","7,102.0","7,101.0",-111.0,"230,684","4,813","47,078",2022-06-07
Jul 2022,-,-,-,-,"7,101.0",-111.0,2,-,-,2022-06-07
Aug 2022,-,-,-,-,"7,084.0",-111.0,-,-,-,2022-06-07
Sep 2022,"7,112.0","7,120.0","6,985.0","6,994.0","6,995.0",-108.0,531,165,324,2022-06-07
Dec 2022,-,-,-,-,"6,996.0",-108.0,509,-,-,2022-06-07
Mar 2023,-,-,-,-,"6,929.0",-108.0,-,-,-,2022-06-07
Jun 2023,-,-,-,-,"6,929.0",-108.0,1,-,-,2022-06-07
Sep 2023,-,-,-,-,"6,862.0",-108.0,-,-,-,2022-06-07
,,,,,,,,,,2022-06-07
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"231,727","4,978","47,402",2022-06-07
,,,,,,,,,,2022-06-07
,,,,,,,,,,2022-06-07
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-06-07
,,,,,,,,,,2022-06-07
