X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-10-05
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-10-05
,,,,,,,,,,2022-10-05
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-05
,,,,,,,,,,2022-10-05
Oct 2022,"6,801.0","6,815.0","6,792.0","6,809.0","6,802.0",102.0,"2,337",51,72,2022-10-05
Nov 2022,-,-,-,-,"6,788.0",102.0,-,-,-,2022-10-05
Dec 2022,"6,700.0","6,817.0","6,677.0","6,799.0","6,801.0",105.0,"234,575","-3,094","63,869",2022-10-05
Mar 2023,-,-,-,-,"6,738.0",105.0,255,-,-,2022-10-05
Jun 2023,-,-,-,-,"6,738.0",105.0,52,-,-,2022-10-05
Sep 2023,-,-,-,-,"6,671.0",105.0,-,-,-,2022-10-05
Dec 2023,-,-,-,-,"6,652.0",105.0,-,-,-,2022-10-05
Mar 2024,-,-,-,-,"6,585.0",105.0,-,-,-,2022-10-05
,,,,,,,,,,2022-10-05
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"237,219","-3,043","63,941",2022-10-05
,,,,,,,,,,2022-10-05
,,,,,,,,,,2022-10-05
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-10-05
,,,,,,,,,,2022-10-05
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-05
,,,,,,,,,,2022-10-05
Dec 2022,"1,306.0","1,306.0","1,306.0","1,306.0","1,306.0",32.0,"5,837",-4,24,2022-10-05
Mar 2023,-,-,-,-,"1,306.0",32.0,-,-,-,2022-10-05
Jun 2023,-,-,-,-,"1,306.0",32.0,-,-,-,2022-10-05
Sep 2023,-,-,-,-,"1,310.0",32.0,-,-,-,2022-10-05
,,,,,,,,,,2022-10-05
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"5,837",-4,24,2022-10-05
,,,,,,,,,,2022-10-05
,,,,,,,,,,2022-10-05
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-10-05
,,,,,,,,,,2022-10-05
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-05
,,,,,,,,,,2022-10-05
Dec 2022,-,-,-,-,"6,885.0",157.0,10,-,-,2022-10-05
Mar 2023,-,-,-,-,"6,885.0",157.0,-,-,-,2022-10-05
Jun 2023,-,-,-,-,"6,885.0",157.0,-,-,-,2022-10-05
Sep 2023,-,-,-,-,"6,810.0",157.0,-,-,-,2022-10-05
,,,,,,,,,,2022-10-05
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,10,-,-,2022-10-05
,,,,,,,,,,2022-10-05
,,,,,,,,,,2022-10-05
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2022-10-05
,,,,,,,,,,2022-10-05
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-05
,,,,,,,,,,2022-10-05
Dec 2022,-,-,-,-,"5,540.0",68.0,88,-,-,2022-10-05
Mar 2023,-,-,-,-,"5,540.0",68.0,-,-,-,2022-10-05
Jun 2023,-,-,-,-,"5,540.0",68.0,-,-,-,2022-10-05
Sep 2023,-,-,-,-,"5,510.0",68.0,-,-,-,2022-10-05
,,,,,,,,,,2022-10-05
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,88,-,-,2022-10-05
,,,,,,,,,,2022-10-05
,,,,,,,,,,2022-10-05
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2022-10-05
,,,,,,,,,,2022-10-05
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-10-05
,,,,,,,,,,2022-10-05
Oct 2022,-,-,-,-,"6,802.0",102.0,-,-,-,2022-10-05
Nov 2022,-,-,-,-,"6,788.0",102.0,-,-,-,2022-10-05
Dec 2022,"6,805.0","6,805.0","6,805.0","6,805.0","6,801.0",105.0,30,5,5,2022-10-05
Mar 2023,-,-,-,-,"6,738.0",105.0,-,-,-,2022-10-05
,,,,,,,,,,2022-10-05
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,30,5,5,2022-10-05
,,,,,,,,,,2022-10-05
,,,,,,,,,,2022-10-05
