X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-01-30
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-01-30
,,,,,,,,,,2023-01-30
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-30
,,,,,,,,,,2023-01-30
Feb 2023,"7,514.0","7,514.0","7,514.0","7,514.0","7,498.0",-11.0,46,-,12,2023-01-30
Mar 2023,"7,439.0","7,462.0","7,411.0","7,428.0","7,427.0",-11.0,"274,854","-3,712","35,200",2023-01-30
Apr 2023,-,-,-,-,"7,427.0",-11.0,-,-,-,2023-01-30
Jun 2023,-,-,-,-,"7,459.0",-16.0,"1,122",-,-,2023-01-30
Sep 2023,-,-,-,-,"7,392.0",-16.0,-,-,-,2023-01-30
Dec 2023,-,-,-,-,"7,373.0",-16.0,-,-,-,2023-01-30
Mar 2024,-,-,-,-,"7,306.0",-16.0,-,-,-,2023-01-30
Jun 2024,-,-,-,-,"7,306.0",-16.0,-,-,-,2023-01-30
,,,,,,,,,,2023-01-30
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"276,022","-3,712","35,212",2023-01-30
,,,,,,,,,,2023-01-30
,,,,,,,,,,2023-01-30
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-01-30
,,,,,,,,,,2023-01-30
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-30
,,,,,,,,,,2023-01-30
Mar 2023,-,-,-,-,"1,450.0",-,"4,263",-33,58,2023-01-30
Jun 2023,-,-,-,-,"1,450.0",-,-,-,-,2023-01-30
Sep 2023,-,-,-,-,"1,454.0",-,-,-,-,2023-01-30
Dec 2023,-,-,-,-,"1,468.0",-,-,-,-,2023-01-30
,,,,,,,,,,2023-01-30
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,263",-33,58,2023-01-30
,,,,,,,,,,2023-01-30
,,,,,,,,,,2023-01-30
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-01-30
,,,,,,,,,,2023-01-30
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-30
,,,,,,,,,,2023-01-30
Mar 2023,-,-,-,-,"7,447.0",-24.0,7,-,-,2023-01-30
Jun 2023,-,-,-,-,"7,447.0",-24.0,-,-,-,2023-01-30
Sep 2023,-,-,-,-,"7,372.0",-24.0,-,-,-,2023-01-30
Dec 2023,-,-,-,-,"7,394.0",-24.0,-,-,-,2023-01-30
,,,,,,,,,,2023-01-30
