X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-01-23
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Feb 2023,"7,456.0","7,475.0","7,456.0","7,475.0","7,473.0",7.0,38,-4,6,2023-01-23
Mar 2023,"7,396.0","7,431.0","7,366.0","7,400.0","7,401.0",7.0,"272,645","1,455","37,201",2023-01-23
Apr 2023,-,-,-,-,"7,401.0",7.0,-,-,-,2023-01-23
Jun 2023,"7,413.0","7,425.0","7,413.0","7,425.0","7,440.0",6.0,"1,121",-,2,2023-01-23
Sep 2023,-,-,-,-,"7,373.0",6.0,-,-,-,2023-01-23
Dec 2023,-,-,-,-,"7,354.0",6.0,-,-,-,2023-01-23
Mar 2024,-,-,-,-,"7,287.0",6.0,-,-,-,2023-01-23
Jun 2024,-,-,-,-,"7,287.0",6.0,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"273,804","1,451","37,209",2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Mar 2023,"1,420.0","1,420.0","1,414.0","1,414.0","1,414.0",-1.0,"4,362",-15,24,2023-01-23
Jun 2023,-,-,-,-,"1,414.0",-1.0,-,-,-,2023-01-23
Sep 2023,-,-,-,-,"1,418.0",-1.0,-,-,-,2023-01-23
Dec 2023,-,-,-,-,"1,432.0",-1.0,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,362",-15,24,2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Mar 2023,-,-,-,-,"7,392.0",-,7,-,-,2023-01-23
Jun 2023,-,-,-,-,"7,392.0",-,-,-,-,2023-01-23
Sep 2023,-,-,-,-,"7,317.0",-,-,-,-,2023-01-23
Dec 2023,-,-,-,-,"7,339.0",-,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,7,-,-,2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),AR - S&P / ASX 200 Resources Index (A$25 x Index),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Mar 2023,-,-,-,-,"6,375.0",-,11,-,-,2023-01-23
Jun 2023,-,-,-,-,"6,375.0",-,-,-,-,2023-01-23
Sep 2023,-,-,-,-,"6,345.0",-,-,-,-,2023-01-23
Dec 2023,-,-,-,-,"6,410.0",-,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,11,-,-,2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),AM - Mini-ASX SPI 200 (A$5 x Index),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Feb 2023,-,-,-,-,"7,473.0",7.0,-,-,-,2023-01-23
Mar 2023,-,-,-,-,"7,401.0",7.0,-,-,-,2023-01-23
Apr 2023,-,-,-,-,"7,401.0",7.0,-,-,-,2023-01-23
Jun 2023,-,-,-,-,"7,440.0",6.0,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),AT - S&P /ASX 200 Gross TR Index (A$25 x ASX 200 Gross TR Index / 10),2023-01-23
,,,,,,,,,,2023-01-23
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-23
,,,,,,,,,,2023-01-23
Mar 2023,-,-,-,-,"9,067.0",-,"1,500",-,-,2023-01-23
Jun 2023,-,-,-,-,"9,082.0",-,-,-,-,2023-01-23
Sep 2023,-,-,-,-,"8,993.0",-,-,-,-,2023-01-23
Dec 2023,-,-,-,-,"9,005.0",-,-,-,-,2023-01-23
Mar 2024,-,-,-,-,"8,983.0",-,-,-,-,2023-01-23
Jun 2024,-,-,-,-,"9,020.0",-,-,-,-,2023-01-23
,,,,,,,,,,2023-01-23
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"1,500",-,-,2023-01-23
,,,,,,,,,,2023-01-23
,,,,,,,,,,2023-01-23
