X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-09-12
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-09-12
,,,,,,,,,,2022-09-12
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-12
,,,,,,,,,,2022-09-12
Sep 2022,"6,891.0","6,982.0","6,890.0","6,958.0","6,957.0",73.0,"205,707","-48,426","166,557",2022-09-12
Oct 2022,"6,959.0","6,977.0","6,959.0","6,977.0","6,963.0",71.0,"1,195",587,602,2022-09-12
Nov 2022,-,-,-,-,"6,941.0",71.0,-,-,-,2022-09-12
Dec 2022,"6,903.0","7,003.0","6,901.0","6,961.0","6,961.0",71.0,"90,858","69,875","126,006",2022-09-12
Mar 2023,-,-,-,-,"6,894.0",71.0,255,3,3,2022-09-12
Jun 2023,-,-,-,-,"6,894.0",71.0,52,-,-,2022-09-12
Sep 2023,-,-,-,-,"6,827.0",71.0,-,-,-,2022-09-12
Dec 2023,-,-,-,-,"6,808.0",71.0,-,-,-,2022-09-12
,,,,,,,,,,2022-09-12
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"298,067","22,039","293,168",2022-09-12
,,,,,,,,,,2022-09-12
,,,,,,,,,,2022-09-12
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-09-12
,,,,,,,,,,2022-09-12
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-12
,,,,,,,,,,2022-09-12
Sep 2022,"1,390.0","1,390.0","1,390.0","1,390.0","1,390.0",14.0,"2,333",120,983,2022-09-12
Dec 2022,-,-,-,-,"1,390.0",14.0,683,683,958,2022-09-12
Mar 2023,-,-,-,-,"1,390.0",14.0,-,-,-,2022-09-12
Jun 2023,-,-,-,-,"1,390.0",14.0,-,-,-,2022-09-12
,,,,,,,,,,2022-09-12
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"3,016",803,"1,941",2022-09-12
,,,,,,,,,,2022-09-12
,,,,,,,,,,2022-09-12
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2022-09-12
,,,,,,,,,,2022-09-12
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-09-12
,,,,,,,,,,2022-09-12
Sep 2022,-,-,-,-,"6,906.0",74.0,752,-,3,2022-09-12
