X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-12-02
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-12-02
,,,,,,,,,,2022-12-02
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-02
,,,,,,,,,,2022-12-02
Dec 2022,"7,363.0","7,370.0","7,302.0","7,314.0","7,315.0",-51.0,"240,030",-530,"48,132",2022-12-02
Jan 2023,-,-,-,-,"7,315.0",-51.0,1,-,-,2022-12-02
Feb 2023,-,-,-,-,"7,299.0",-51.0,-,-,-,2022-12-02
Mar 2023,"7,304.0","7,304.0","7,256.0","7,263.0","7,263.0",-53.0,503,36,44,2022-12-02
Jun 2023,-,-,-,-,"7,279.0",-53.0,364,42,42,2022-12-02
Sep 2023,-,-,-,-,"7,212.0",-53.0,-,-,-,2022-12-02
Dec 2023,-,-,-,-,"7,193.0",-53.0,-,-,-,2022-12-02
Mar 2024,-,-,-,-,"7,126.0",-53.0,-,-,-,2022-12-02
,,,,,,,,,,2022-12-02
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"240,898",-452,"48,218",2022-12-02
,,,,,,,,,,2022-12-02
,,,,,,,,,,2022-12-02
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-12-02
,,,,,,,,,,2022-12-02
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-12-02
,,,,,,,,,,2022-12-02
